favored_team,times_favored,covered,game_count
Arizona,4,Covered,2
,,Not Covered,2
Atlanta,6,Covered,2
,,Not Covered,4
Baltimore,11,Covered,3
,,Not Covered,8
Buffalo,16,Covered,9
,,Not Covered,7
Carolina,4,Covered,0
,,Not Covered,4
Chicago,1,Covered,0
,,Not Covered,1
Cincinnati,12,Covered,9
,,Not Covered,3
Cleveland,9,Covered,4
,,Not Covered,5
Dallas,12,Covered,7
,,Not Covered,5
Denver,8,Covered,1
,,Not Covered,7
Detroit,6,Covered,4
,,Not Covered,2
Green Bay,11,Covered,4
,,Not Covered,7
Houston,1,Covered,0
,,Not Covered,1
Indianapolis,7,Covered,1
,,Not Covered,6
Jacksonville,5,Covered,1
,,Not Covered,4
Kansas City,15,Covered,6
,,Not Covered,9
Las Vegas,10,Covered,4
,,Not Covered,6
Los Angeles (C),11,Covered,7
,,Not Covered,4
Los Angeles (R),6,Covered,2
,,Not Covered,4
Miami,11,Covered,5
,,Not Covered,6
Minnesota,11,Covered,6
,,Not Covered,5
New England,8,Covered,6
,,Not Covered,2
New Orleans,6,Covered,2
,,Not Covered,4
New York (G),5,Covered,3
,,Not Covered,2
New York (J),5,Covered,2
,,Not Covered,3
Philadelphia,13,Covered,7
,,Not Covered,6
Pittsburgh,7,Covered,4
,,Not Covered,3
San Francisco,15,Covered,10
,,Not Covered,5
Seattle,5,Covered,1
,,Not Covered,4
Tampa Bay,14,Covered,5
,,Not Covered,9
Tennessee,7,Covered,4
,,Not Covered,3
Washington,6,Covered,3
,,Not Covered,3